sku,nombre,precio,stock,categoria,descripcion,imagenUrl
SKU-36,Producto 36,360.50,36,Alimentos,Descripción del producto 36,https://cdn.example.com/img/36.jpg
SKU-37,Producto 37,370.50,abc,Belleza,Descripción del producto 37,https://cdn.example.com/img/37.jpg
SKU-38,Producto 38,380.50,-38,Herramientas,Descripción del producto 38,https://cdn.example.com/img/38.jpg
SKU-39,Producto 39,-390.50,39,Mascotas,Descripción del producto 39,https://cdn.example.com/img/39.jpg
SKU-40,Producto 40,400.50,40,Electrónica,Descripción del producto 40,https://cdn.example.com/img/40.jpg
SKU-41,Producto 41,410.50,41,Hogar,Descripción del producto 41,no-es-una-url
,Producto 42,420.50,42,Ropa,Descripción del producto 42,https://cdn.example.com/img/42.jpg
SKU-43,  Producto   43   con   espacios  ,430.50,43,Deportes,Descripción del producto 43,https://cdn.example.com/img/43.jpg
SKU-44,,440.50,44,Juguetes,Descripción del producto 44,https://cdn.example.com/img/44.jpg
SKU-45,Producto 45,450.50,45,Libros,Descripción del producto 45,https://cdn.example.com/img/45.jpg
SKU-46,Producto 46,460.50,46,,Descripción del producto 46,https://cdn.example.com/img/46.jpg
sku-47,Producto 47,470.50,47,Belleza,Descripción del producto 47,https://cdn.example.com/img/47.jpg
SKU-48,Producto 48,480.50,48,Herramientas,Descripción del producto 48,https://cdn.example.com/img/48.jpg
,Producto 49,490.50,49,Mascotas,Descripción del producto 49,https://cdn.example.com/img/49.jpg
SKU-50,Producto 50,500.50,50,Electrónica,Descripción del producto 50,https://cdn.example.com/img/50.jpg
SKU-51,Producto 51,510.50,51.75,Hogar,Descripción del producto 51,https://cdn.example.com/img/51.jpg
SKU-52,Producto 52,-520.50,52,Ropa,Descripción del producto 52,https://cdn.example.com/img/52.jpg
SKU-53,Producto 53,530.50,53,DEPORTES,Descripción del producto 53,https://cdn.example.com/img/53.jpg
SKU-54,Producto 54,540.50,54,Juguetes,Descripción del producto 54,https://cdn.example.com/img/54.jpg
SKU-55,,550.50,55,Libros,Descripción del producto 55,https://cdn.example.com/img/55.jpg
,Producto 56,560.50,56,Alimentos,Descripción del producto 56,https://cdn.example.com/img/56.jpg
SKU-57,Producto 57,570.50,-57,Belleza,Descripción del producto 57,https://cdn.example.com/img/57.jpg
SKU-30,Producto 58,580.50,58,Herramientas,Descripción del producto 58,https://cdn.example.com/img/58.jpg
SKU-59,Producto 59,590.123456,59,Mascotas,Descripción del producto 59,https://cdn.example.com/img/59.jpg
SKU-60,Producto 60,600.50,60,Electrónica,Descripción del producto 60,https://cdn.example.com/img/60.jpg
SKU-61,Producto 61,610.50,61,Hogar,,https://cdn.example.com/img/61.jpg
SKU-62,Producto 62,no-es-un-numero,62,Ropa,Descripción del producto 62,https://cdn.example.com/img/62.jpg
,Producto 63,630.50,63,Deportes,Descripción del producto 63,https://cdn.example.com/img/63.jpg
SKU-64,Producto 64,640.50,64,Juguetes,Descripción del producto 64,https://cdn.example.com/img/64.jpg
SKU-65,Producto 65,-650.50,65,Libros,Descripción del producto 65,https://cdn.example.com/img/65.jpg
SKU-66,,660.50,66,Alimentos,Descripción del producto 66,https://cdn.example.com/img/66.jpg
SKU-67,Producto 67,670.50,67,Belleza,Descripción del producto 67,https://cdn.example.com/img/67.jpg
SKU-68,Producto 68,680.50,68.75,Herramientas,Descripción del producto 68,https://cdn.example.com/img/68.jpg
SKU-69,Producto 69,690.50,69,,Descripción del producto 69,https://cdn.example.com/img/69.jpg
,Producto 70,700.50,70,Electrónica,Descripción del producto 70,https://cdn.example.com/img/70.jpg
SKU-71,Producto 71,710.50,71,Hogar,Descripción del producto 71,https://cdn.example.com/img/71.jpg
SKU-72,Producto 72,720.50,72,Ropa,Descripción del producto 72,https://cdn.example.com/img/72.jpg
SKU-73,Producto 73,730.50,73,Deportes,Descripción del producto 73,https://cdn.example.com/img/73.jpg
SKU-74,Producto 74,740.50,abc,Juguetes,Descripción del producto 74,https://cdn.example.com/img/74.jpg
SKU-75,Producto 75,750.50,75,Libros,Descripción del producto 75,https://cdn.example.com/img/75.jpg
SKU-76,Producto 76,760.50,-76,Alimentos,Descripción del producto 76,https://cdn.example.com/img/76.jpg
,Producto 77,770.50,77,Belleza,Descripción del producto 77,https://cdn.example.com/img/77.jpg
SKU-78,Producto 78,-780.50,78,Herramientas,Descripción del producto 78,https://cdn.example.com/img/78.jpg
SKU-79,Producto 79,790.50,79,Mascotas,Descripción del producto 79,https://cdn.example.com/img/79.jpg
SKU-80,Producto 80,800.50,80,Electrónica,Descripción del producto 80,https://cdn.example.com/img/80.jpg
SKU-81,Producto 81,810.50,81,Hogar,Descripción del producto 81,https://cdn.example.com/img/81.jpg
SKU-82,Producto 82,820.50,82,Ropa,Descripción del producto 82,no-es-una-url
SKU-83,Producto 83,830.50,83,Deportes,Descripción del producto 83,https://cdn.example.com/img/83.jpg
,Producto 84,840.50,84,Juguetes,Descripción del producto 84,https://cdn.example.com/img/84.jpg
SKU-85,Producto 85,850.50,85.75,Libros,Descripción del producto 85,https://cdn.example.com/img/85.jpg
SKU-86,  Producto   86   con   espacios  ,860.50,86,Alimentos,Descripción del producto 86,https://cdn.example.com/img/86.jpg
SKU-59,Producto 87,870.50,87,Belleza,Descripción del producto 87,https://cdn.example.com/img/87.jpg
SKU-88,,880.50,88,Herramientas,Descripción del producto 88,https://cdn.example.com/img/88.jpg
SKU-89,Producto 89,890.50,89,Mascotas,Descripción del producto 89,https://cdn.example.com/img/89.jpg
SKU-90,Producto 90,900.50,90,Electrónica,Descripción del producto 90,https://cdn.example.com/img/90.jpg
,Producto 91,910.50,91,Hogar,Descripción del producto 91,https://cdn.example.com/img/91.jpg
SKU-92,Producto 92,920.50,92,,Descripción del producto 92,https://cdn.example.com/img/92.jpg
SKU-93,Producto 93,no-es-un-numero,93,Deportes,Descripción del producto 93,https://cdn.example.com/img/93.jpg
sku-94,Producto 94,940.50,94,Juguetes,Descripción del producto 94,https://cdn.example.com/img/94.jpg
SKU-95,Producto 95,950.50,-95,Libros,Descripción del producto 95,https://cdn.example.com/img/95.jpg
SKU-96,Producto 96,960.50,96,Alimentos,Descripción del producto 96,https://cdn.example.com/img/96.jpg
SKU-97,Producto 97,970.50,97,Belleza,Descripción del producto 97,https://cdn.example.com/img/97.jpg
,Producto 98,980.50,98,Herramientas,Descripción del producto 98,https://cdn.example.com/img/98.jpg
SKU-99,,990.50,99,Mascotas,Descripción del producto 99,https://cdn.example.com/img/99.jpg
SKU-100,Producto 100,1000.50,100,Electrónica,Descripción del producto 100,https://cdn.example.com/img/100.jpg
SKU-101,Producto 101,1010.50,101,Hogar,Descripción del producto 101,https://cdn.example.com/img/101.jpg
SKU-102,Producto 102,1020.50,102.75,Ropa,Descripción del producto 102,https://cdn.example.com/img/102.jpg
SKU-103,Producto 103,1030.50,103,Deportes,Descripción del producto 103,https://cdn.example.com/img/103.jpg
SKU-104,Producto 104,-1040.50,104,Juguetes,Descripción del producto 104,https://cdn.example.com/img/104.jpg
,Producto 105,1050.50,105,Libros,Descripción del producto 105,https://cdn.example.com/img/105.jpg
SKU-106,Producto 106,1060.50,106,ALIMENTOS,Descripción del producto 106,https://cdn.example.com/img/106.jpg
SKU-107,Producto 107,1070.50,107,Belleza,Descripción del producto 107,https://cdn.example.com/img/107.jpg
SKU-108,Producto 108,1080.50,108,Herramientas,Descripción del producto 108,https://cdn.example.com/img/108.jpg
SKU-109,Producto 109,1090.50,109,Mascotas,Descripción del producto 109,https://cdn.example.com/img/109.jpg
SKU-110,,1100.50,110,Electrónica,Descripción del producto 110,https://cdn.example.com/img/110.jpg
SKU-111,Producto 111,1110.50,abc,Hogar,Descripción del producto 111,https://cdn.example.com/img/111.jpg
,Producto 112,1120.50,112,Ropa,Descripción del producto 112,https://cdn.example.com/img/112.jpg
SKU-113,Producto 113,1130.50,113,Deportes,Descripción del producto 113,https://cdn.example.com/img/113.jpg
SKU-114,Producto 114,1140.50,-114,Juguetes,Descripción del producto 114,https://cdn.example.com/img/114.jpg
SKU-115,Producto 115,1150.50,115,,Descripción del producto 115,https://cdn.example.com/img/115.jpg
SKU-88,Producto 116,1160.50,116,Alimentos,Descripción del producto 116,https://cdn.example.com/img/116.jpg
SKU-117,Producto 117,-1170.50,117,Belleza,Descripción del producto 117,https://cdn.example.com/img/117.jpg
SKU-118,Producto 118,1180.123456,118,Herramientas,Descripción del producto 118,https://cdn.example.com/img/118.jpg
,Producto 119,1190.50,119,Mascotas,Descripción del producto 119,https://cdn.example.com/img/119.jpg
SKU-120,Producto 120,1200.50,120,Electrónica,Descripción del producto 120,https://cdn.example.com/img/120.jpg
SKU-121,,1210.50,121,Hogar,Descripción del producto 121,https://cdn.example.com/img/121.jpg
SKU-122,Producto 122,1220.50,122,Ropa,,https://cdn.example.com/img/122.jpg
SKU-123,Producto 123,1230.50,123,Deportes,Descripción del producto 123,no-es-una-url
SKU-124,Producto 124,no-es-un-numero,124,Juguetes,Descripción del producto 124,https://cdn.example.com/img/124.jpg
SKU-125,Producto 125,1250.50,125,Libros,Descripción del producto 125,https://cdn.example.com/img/125.jpg
,Producto 126,1260.50,126,Alimentos,Descripción del producto 126,https://cdn.example.com/img/126.jpg
SKU-127,Producto 127,1270.50,127,Belleza,Descripción del producto 127,https://cdn.example.com/img/127.jpg
SKU-128,Producto 128,1280.50,128,Herramientas,Descripción del producto 128,https://cdn.example.com/img/128.jpg
SKU-129,  Producto   129   con   espacios  ,1290.50,129,Mascotas,Descripción del producto 129,https://cdn.example.com/img/129.jpg
SKU-130,Producto 130,-1300.50,130,Electrónica,Descripción del producto 130,https://cdn.example.com/img/130.jpg
SKU-131,Producto 131,1310.50,131,Hogar,Descripción del producto 131,https://cdn.example.com/img/131.jpg
SKU-132,,1320.50,132,Ropa,Descripción del producto 132,https://cdn.example.com/img/132.jpg
,Producto 133,1330.50,133,Deportes,Descripción del producto 133,https://cdn.example.com/img/133.jpg
SKU-134,Producto 134,1340.50,134,Juguetes,Descripción del producto 134,https://cdn.example.com/img/134.jpg
SKU-135,Producto 135,1350.50,135,Libros,Descripción del producto 135,https://cdn.example.com/img/135.jpg
SKU-136,Producto 136,1360.50,136.75,Alimentos,Descripción del producto 136,https://cdn.example.com/img/136.jpg
SKU-137,Producto 137,1370.50,137,Belleza,Descripción del producto 137,https://cdn.example.com/img/137.jpg
SKU-138,Producto 138,1380.50,138,,Descripción del producto 138,https://cdn.example.com/img/138.jpg
SKU-139,Producto 139,1390.50,139,Mascotas,Descripción del producto 139,https://cdn.example.com/img/139.jpg
,Producto 140,1400.50,140,Electrónica,Descripción del producto 140,https://cdn.example.com/img/140.jpg
sku-141,Producto 141,1410.50,141,Hogar,Descripción del producto 141,https://cdn.example.com/img/141.jpg
SKU-142,Producto 142,1420.50,142,Ropa,Descripción del producto 142,https://cdn.example.com/img/142.jpg
SKU-143,,1430.50,143,Deportes,Descripción del producto 143,https://cdn.example.com/img/143.jpg
SKU-144,Producto 144,1440.50,144,Juguetes,Descripción del producto 144,https://cdn.example.com/img/144.jpg
SKU-117,Producto 145,1450.50,145,Libros,Descripción del producto 145,https://cdn.example.com/img/145.jpg
SKU-146,Producto 146,1460.50,146,Alimentos,Descripción del producto 146,https://cdn.example.com/img/146.jpg
,Producto 147,1470.50,147,Belleza,Descripción del producto 147,https://cdn.example.com/img/147.jpg
SKU-148,Producto 148,1480.50,abc,Herramientas,Descripción del producto 148,https://cdn.example.com/img/148.jpg
SKU-149,Producto 149,1490.50,149,Mascotas,Descripción del producto 149,https://cdn.example.com/img/149.jpg
SKU-150,Producto 150,1500.50,150,Electrónica,Descripción del producto 150,https://cdn.example.com/img/150.jpg
SKU-151,Producto 151,1510.50,151,Hogar,Descripción del producto 151,https://cdn.example.com/img/151.jpg
SKU-152,Producto 152,1520.50,-152,Ropa,Descripción del producto 152,https://cdn.example.com/img/152.jpg
SKU-153,Producto 153,1530.50,153.75,Deportes,Descripción del producto 153,https://cdn.example.com/img/153.jpg
,Producto 154,1540.50,154,Juguetes,Descripción del producto 154,https://cdn.example.com/img/154.jpg
SKU-155,Producto 155,no-es-un-numero,155,Libros,Descripción del producto 155,https://cdn.example.com/img/155.jpg
SKU-156,Producto 156,-1560.50,156,Alimentos,Descripción del producto 156,https://cdn.example.com/img/156.jpg
SKU-157,Producto 157,1570.50,157,Belleza,Descripción del producto 157,https://cdn.example.com/img/157.jpg
SKU-158,Producto 158,1580.50,158,Herramientas,Descripción del producto 158,https://cdn.example.com/img/158.jpg
SKU-159,Producto 159,1590.50,159,MASCOTAS,Descripción del producto 159,https://cdn.example.com/img/159.jpg
SKU-160,Producto 160,1600.50,160,Electrónica,Descripción del producto 160,https://cdn.example.com/img/160.jpg
,Producto 161,1610.50,161,Hogar,Descripción del producto 161,https://cdn.example.com/img/161.jpg
SKU-162,Producto 162,1620.50,162,Ropa,Descripción del producto 162,https://cdn.example.com/img/162.jpg
SKU-163,Producto 163,1630.50,163,Deportes,Descripción del producto 163,https://cdn.example.com/img/163.jpg
SKU-164,Producto 164,1640.50,164,Juguetes,Descripción del producto 164,no-es-una-url
SKU-165,,1650.50,165,Libros,Descripción del producto 165,https://cdn.example.com/img/165.jpg
SKU-166,Producto 166,1660.50,166,Alimentos,Descripción del producto 166,https://cdn.example.com/img/166.jpg
SKU-167,Producto 167,1670.50,167,Belleza,Descripción del producto 167,https://cdn.example.com/img/167.jpg
,Producto 168,1680.50,168,Herramientas,Descripción del producto 168,https://cdn.example.com/img/168.jpg
SKU-169,Producto 169,-1690.50,169,Mascotas,Descripción del producto 169,https://cdn.example.com/img/169.jpg
SKU-170,Producto 170,1700.50,170.75,Electrónica,Descripción del producto 170,https://cdn.example.com/img/170.jpg
SKU-171,Producto 171,1710.50,-171,Hogar,Descripción del producto 171,https://cdn.example.com/img/171.jpg
SKU-172,  Producto   172   con   espacios  ,1720.50,172,Ropa,Descripción del producto 172,https://cdn.example.com/img/172.jpg
SKU-173,Producto 173,1730.50,173,Deportes,Descripción del producto 173,https://cdn.example.com/img/173.jpg
SKU-146,Producto 174,1740.50,174,Juguetes,Descripción del producto 174,https://cdn.example.com/img/174.jpg
,Producto 175,1750.50,175,Libros,Descripción del producto 175,https://cdn.example.com/img/175.jpg
SKU-176,,1760.50,176,Alimentos,Descripción del producto 176,https://cdn.example.com/img/176.jpg
SKU-177,Producto 177,1770.123456,177,Belleza,Descripción del producto 177,https://cdn.example.com/img/177.jpg
SKU-178,Producto 178,1780.50,178,Herramientas,Descripción del producto 178,https://cdn.example.com/img/178.jpg
SKU-179,Producto 179,1790.50,179,Mascotas,Descripción del producto 179,https://cdn.example.com/img/179.jpg
SKU-180,Producto 180,1800.50,180,Electrónica,Descripción del producto 180,https://cdn.example.com/img/180.jpg
SKU-181,Producto 181,1810.50,181,Hogar,Descripción del producto 181,https://cdn.example.com/img/181.jpg
,Producto 182,1820.50,182,Ropa,Descripción del producto 182,https://cdn.example.com/img/182.jpg
SKU-183,Producto 183,1830.50,183,Deportes,,https://cdn.example.com/img/183.jpg
SKU-184,Producto 184,1840.50,184,,Descripción del producto 184,https://cdn.example.com/img/184.jpg
SKU-185,Producto 185,1850.50,abc,Libros,Descripción del producto 185,https://cdn.example.com/img/185.jpg
SKU-186,Producto 186,no-es-un-numero,186,Alimentos,Descripción del producto 186,https://cdn.example.com/img/186.jpg
SKU-187,,1870.50,187,Belleza,Descripción del producto 187,https://cdn.example.com/img/187.jpg
sku-188,Producto 188,1880.50,188,Herramientas,Descripción del producto 188,https://cdn.example.com/img/188.jpg
,Producto 189,1890.50,189,Mascotas,Descripción del producto 189,https://cdn.example.com/img/189.jpg
SKU-190,Producto 190,1900.50,-190,Electrónica,Descripción del producto 190,https://cdn.example.com/img/190.jpg
SKU-191,Producto 191,1910.50,191,Hogar,Descripción del producto 191,https://cdn.example.com/img/191.jpg
SKU-192,Producto 192,1920.50,192,Ropa,Descripción del producto 192,https://cdn.example.com/img/192.jpg
SKU-193,Producto 193,1930.50,193,Deportes,Descripción del producto 193,https://cdn.example.com/img/193.jpg
SKU-194,Producto 194,1940.50,194,Juguetes,Descripción del producto 194,https://cdn.example.com/img/194.jpg
SKU-195,Producto 195,-1950.50,195,Libros,Descripción del producto 195,https://cdn.example.com/img/195.jpg
,Producto 196,1960.50,196,Alimentos,Descripción del producto 196,https://cdn.example.com/img/196.jpg
SKU-197,Producto 197,1970.50,197,Belleza,Descripción del producto 197,https://cdn.example.com/img/197.jpg
SKU-198,,1980.50,198,Herramientas,Descripción del producto 198,https://cdn.example.com/img/198.jpg
SKU-199,Producto 199,1990.50,199,Mascotas,Descripción del producto 199,https://cdn.example.com/img/199.jpg
SKU-200,Producto 200,2000.50,200,Electrónica,Descripción del producto 200,https://cdn.example.com/img/200.jpg
SKU-201,Producto 201,2010.50,201,Hogar,Descripción del producto 201,https://cdn.example.com/img/201.jpg
SKU-202,Producto 202,2020.50,202,Ropa,Descripción del producto 202,https://cdn.example.com/img/202.jpg
,Producto 203,2030.50,203,Deportes,Descripción del producto 203,https://cdn.example.com/img/203.jpg
SKU-204,Producto 204,2040.50,204.75,Juguetes,Descripción del producto 204,https://cdn.example.com/img/204.jpg
SKU-205,Producto 205,2050.50,205,Libros,Descripción del producto 205,no-es-una-url
SKU-206,Producto 206,2060.50,206,Alimentos,Descripción del producto 206,https://cdn.example.com/img/206.jpg
SKU-207,Producto 207,2070.50,207,,Descripción del producto 207,https://cdn.example.com/img/207.jpg
SKU-208,Producto 208,-2080.50,208,Herramientas,Descripción del producto 208,https://cdn.example.com/img/208.jpg
SKU-209,,2090.50,209,Mascotas,Descripción del producto 209,https://cdn.example.com/img/209.jpg
,Producto 210,2100.50,210,Electrónica,Descripción del producto 210,https://cdn.example.com/img/210.jpg
SKU-211,Producto 211,2110.50,211,Hogar,Descripción del producto 211,https://cdn.example.com/img/211.jpg
SKU-212,Producto 212,2120.50,212,ROPA,Descripción del producto 212,https://cdn.example.com/img/212.jpg
SKU-213,Producto 213,2130.50,213,Deportes,Descripción del producto 213,https://cdn.example.com/img/213.jpg
SKU-214,Producto 214,2140.50,214,Juguetes,Descripción del producto 214,https://cdn.example.com/img/214.jpg
SKU-215,  Producto   215   con   espacios  ,2150.50,215,Libros,Descripción del producto 215,https://cdn.example.com/img/215.jpg
SKU-216,Producto 216,2160.50,216,Alimentos,Descripción del producto 216,https://cdn.example.com/img/216.jpg
,Producto 217,2170.50,217,Belleza,Descripción del producto 217,https://cdn.example.com/img/217.jpg
SKU-218,Producto 218,2180.50,218,Herramientas,Descripción del producto 218,https://cdn.example.com/img/218.jpg
SKU-219,Producto 219,2190.50,219,Mascotas,Descripción del producto 219,https://cdn.example.com/img/219.jpg
SKU-220,,2200.50,220,Electrónica,Descripción del producto 220,https://cdn.example.com/img/220.jpg
SKU-221,Producto 221,-2210.50,221,Hogar,Descripción del producto 221,https://cdn.example.com/img/221.jpg
SKU-222,Producto 222,2220.50,abc,Ropa,Descripción del producto 222,https://cdn.example.com/img/222.jpg
SKU-223,Producto 223,2230.50,223,Deportes,Descripción del producto 223,https://cdn.example.com/img/223.jpg
,Producto 224,2240.50,224,Juguetes,Descripción del producto 224,https://cdn.example.com/img/224.jpg
SKU-225,Producto 225,2250.50,225,Libros,Descripción del producto 225,https://cdn.example.com/img/225.jpg
SKU-226,Producto 226,2260.50,226,Alimentos,Descripción del producto 226,https://cdn.example.com/img/226.jpg
SKU-227,Producto 227,2270.50,227,Belleza,Descripción del producto 227,https://cdn.example.com/img/227.jpg
SKU-228,Producto 228,2280.50,-228,Herramientas,Descripción del producto 228,https://cdn.example.com/img/228.jpg
SKU-229,Producto 229,2290.50,229,Mascotas,Descripción del producto 229,https://cdn.example.com/img/229.jpg
SKU-230,Producto 230,2300.50,230,,Descripción del producto 230,https://cdn.example.com/img/230.jpg
,Producto 231,2310.50,231,Hogar,Descripción del producto 231,https://cdn.example.com/img/231.jpg
SKU-204,Producto 232,2320.50,232,Ropa,Descripción del producto 232,https://cdn.example.com/img/232.jpg
SKU-233,Producto 233,2330.50,233,Deportes,Descripción del producto 233,https://cdn.example.com/img/233.jpg
SKU-234,Producto 234,-2340.50,234,Juguetes,Descripción del producto 234,https://cdn.example.com/img/234.jpg
sku-235,Producto 235,2350.50,235,Libros,Descripción del producto 235,https://cdn.example.com/img/235.jpg
SKU-236,Producto 236,2360.123456,236,Alimentos,Descripción del producto 236,https://cdn.example.com/img/236.jpg
SKU-237,Producto 237,2370.50,237,Belleza,Descripción del producto 237,https://cdn.example.com/img/237.jpg
,Producto 238,2380.50,238,Herramientas,Descripción del producto 238,https://cdn.example.com/img/238.jpg
SKU-239,Producto 239,2390.50,239,Mascotas,Descripción del producto 239,https://cdn.example.com/img/239.jpg
SKU-240,Producto 240,2400.50,240,Electrónica,Descripción del producto 240,https://cdn.example.com/img/240.jpg
SKU-241,Producto 241,2410.50,241,Hogar,Descripción del producto 241,https://cdn.example.com/img/241.jpg
SKU-242,,2420.50,242,Ropa,Descripción del producto 242,https://cdn.example.com/img/242.jpg
SKU-243,Producto 243,2430.50,243,Deportes,Descripción del producto 243,https://cdn.example.com/img/243.jpg
SKU-244,Producto 244,2440.50,244,Juguetes,,https://cdn.example.com/img/244.jpg
,Producto 245,2450.50,245,Libros,Descripción del producto 245,https://cdn.example.com/img/245.jpg
SKU-246,Producto 246,2460.50,246,Alimentos,Descripción del producto 246,no-es-una-url
SKU-247,Producto 247,-2470.50,247,Belleza,Descripción del producto 247,https://cdn.example.com/img/247.jpg
SKU-248,Producto 248,no-es-un-numero,248,Herramientas,Descripción del producto 248,https://cdn.example.com/img/248.jpg
SKU-249,Producto 249,2490.50,249,Mascotas,Descripción del producto 249,https://cdn.example.com/img/249.jpg
SKU-250,Producto 250,2500.50,250,Electrónica,Descripción del producto 250,https://cdn.example.com/img/250.jpg
SKU-251,Producto 251,2510.50,251,Hogar,Descripción del producto 251,https://cdn.example.com/img/251.jpg
,Producto 252,2520.50,252,Ropa,Descripción del producto 252,https://cdn.example.com/img/252.jpg
SKU-253,,2530.50,253,Deportes,Descripción del producto 253,https://cdn.example.com/img/253.jpg
SKU-254,Producto 254,2540.50,254,Juguetes,Descripción del producto 254,https://cdn.example.com/img/254.jpg
SKU-255,Producto 255,2550.50,255.75,Libros,Descripción del producto 255,https://cdn.example.com/img/255.jpg
SKU-256,Producto 256,2560.50,256,Alimentos,Descripción del producto 256,https://cdn.example.com/img/256.jpg
SKU-257,Producto 257,2570.50,257,Belleza,Descripción del producto 257,https://cdn.example.com/img/257.jpg
SKU-258,  Producto   258   con   espacios  ,2580.50,258,Herramientas,Descripción del producto 258,https://cdn.example.com/img/258.jpg
,Producto 259,2590.50,259,Mascotas,Descripción del producto 259,https://cdn.example.com/img/259.jpg
SKU-260,Producto 260,-2600.50,260,Electrónica,Descripción del producto 260,https://cdn.example.com/img/260.jpg
SKU-233,Producto 261,2610.50,261,Hogar,Descripción del producto 261,https://cdn.example.com/img/261.jpg
SKU-262,Producto 262,2620.50,262,Ropa,Descripción del producto 262,https://cdn.example.com/img/262.jpg
SKU-263,Producto 263,2630.50,263,Deportes,Descripción del producto 263,https://cdn.example.com/img/263.jpg
SKU-264,,2640.50,264,Juguetes,Descripción del producto 264,https://cdn.example.com/img/264.jpg
SKU-265,Producto 265,2650.50,265,LIBROS,Descripción del producto 265,https://cdn.example.com/img/265.jpg
,Producto 266,2660.50,266,Alimentos,Descripción del producto 266,https://cdn.example.com/img/266.jpg
SKU-267,Producto 267,2670.50,267,Belleza,Descripción del producto 267,https://cdn.example.com/img/267.jpg
SKU-268,Producto 268,2680.50,268,Herramientas,Descripción del producto 268,https://cdn.example.com/img/268.jpg
SKU-269,Producto 269,2690.50,269,Mascotas,Descripción del producto 269,https://cdn.example.com/img/269.jpg
SKU-270,Producto 270,2700.50,270,Electrónica,Descripción del producto 270,https://cdn.example.com/img/270.jpg
SKU-271,Producto 271,2710.50,271,Hogar,Descripción del producto 271,https://cdn.example.com/img/271.jpg
SKU-272,Producto 272,2720.50,272.75,Ropa,Descripción del producto 272,https://cdn.example.com/img/272.jpg
,Producto 273,2730.50,273,Deportes,Descripción del producto 273,https://cdn.example.com/img/273.jpg
